generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
10820,1828,1509,21,0,124946,124802,1050,0,271138,218667,1125,0,19890,15284,86,0,2275,1823,14,0,25574,24701,245,0,0.2314,0.2082,0.1833,0.0997,0.0757,0.0530,0.0253,0.0012,0.0005,0.0006,0.0002,0.0008,0.0016,0.0022,0.0015,0.0000,0.0001,0.0001,0.0012,0.0001,0.0018,0.0011
10830,3095,1102,0,0,162743,69337,0,0,392143,144144,0,0,24854,9154,0,0,3292,1170,0,0,44488,20212,0,0,0.2376,0.2130,0.1920,0.0782,0.0571,0.0482,0.0194,0.0008,0.0000,0.0000,0.0000,0.0015,0.0006,0.0005,0.0008,0.0001,0.0000,0.0000,0.0012,0.0000,0.0011,0.0015
10840,4433,2019,0,0,150225,78201,0,0,362774,139340,0,0,25260,9338,0,0,3609,1359,0,0,51879,26301,0,0,0.2212,0.2179,0.1989,0.0966,0.0785,0.0453,0.0005,0.0005,0.0008,0.0011,0.0009,0.0003,0.0025,0.0031,0.0028,0.0000,0.0000,0.0000,0.0020,0.0000,0.0026,0.0023
10850,5005,2651,0,0,114595,67018,0,0,372967,193461,0,0,19513,9317,0,0,2903,1857,0,0,36481,18645,0,0,0.2297,0.2175,0.1937,0.0830,0.0520,0.0465,0.0021,0.0003,0.0000,0.0003,0.0010,0.0000,0.0004,0.0012,0.0002,0.0005,0.0002,0.0013,0.0000,0.0024,0.0001,0.0015
10860,5720,1537,0,0,152432,50875,0,0,435284,127974,0,0,23311,6943,0,0,4472,1169,0,0,45563,14548,0,0,0.2277,0.2121,0.1891,0.0835,0.0561,0.0449,0.0098,0.0010,0.0002,0.0002,0.0000,0.0007,0.0004,0.0003,0.0013,0.0000,0.0000,0.0003,0.0002,0.0004,0.0001,0.0009
10870,7541,3020,0,0,130635,48871,0,0,423658,142987,0,0,24453,7822,0,0,3910,1476,0,0,43631,16773,0,0,0.2207,0.2093,0.1845,0.0995,0.0628,0.0620,0.0014,0.0001,0.0007,0.0012,0.0001,0.0000,0.0003,0.0006,0.0000,0.0000,0.0001,0.0003,0.0004,0.0007,0.0008,0.0000
10880,5968,1981,0,0,152784,56488,0,0,411961,121857,0,0,27641,7365,0,0,2724,925,0,0,45827,15863,0,0,0.2263,0.2138,0.1908,0.0956,0.0600,0.0558,0.0004,0.0003,0.0003,0.0011,0.0000,0.0000,0.0012,0.0024,0.0002,0.0001,0.0002,0.0004,0.0006,0.0013,0.0015,0.0000
10890,5185,1723,0,0,135511,47502,0,0,428930,128359,0,0,29864,7315,0,0,4949,1672,0,0,53764,17666,0,0,0.2174,0.2129,0.1914,0.0809,0.0603,0.0575,0.0000,0.0001,0.0003,0.0020,0.0000,0.0000,0.0006,0.0028,0.0000,0.0001,0.0008,0.0003,0.0002,0.0022,0.0019,0.0000
10900,6298,1940,0,0,119256,47587,0,0,407889,148928,0,0,30514,10285,0,0,6211,3031,0,0,42150,16615,0,0,0.2276,0.2154,0.1910,0.0870,0.0546,0.0573,0.0013,0.0016,0.0007,0.0002,0.0053,0.0015,0.0002,0.0007,0.0011,0.0000,0.0002,0.0022,0.0001,0.0035,0.0006,0.0012
10910,7607,5096,0,0,108005,88385,0,0,305209,222719,0,0,19701,14159,0,0,4625,4216,0,0,31570,22387,0,0,0.2350,0.2105,0.1896,0.0753,0.0746,0.0480,0.0135,0.0012,0.0002,0.0001,0.0029,0.0001,0.0004,0.0005,0.0004,0.0006,0.0000,0.0015,0.0000,0.0017,0.0000,0.0019
