generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
52350,1663.7,3250.0,833009,0.4676,0.0010,0.3414,0.2660,0.2823,0.0000,2.9145,0.6542,-0.1081,0.0000,0.0000,8.6,6,11,4.8,2,13,909,1.6849,543,0.1035
52360,1744.7,3300.0,840274,0.5161,0.0011,0.3341,0.2635,0.2163,0.0461,2.8989,0.7031,-0.1048,0.0000,0.0000,8.6,6,11,4.9,2,13,894,1.6794,389,0.1055
52370,1732.5,3400.0,817962,0.5325,0.0008,0.3271,0.2542,0.1555,0.0000,2.8873,0.7797,-0.1185,0.0000,0.0000,8.7,7,10,4.7,2,14,933,1.7067,263,0.1121
52380,1559.4,3300.0,820750,0.4042,0.0022,0.3432,0.2723,0.0604,0.0000,2.7907,0.6598,-0.1240,0.0000,0.0000,8.6,6,11,4.8,2,13,879,1.6990,559,0.1052
52390,1546.5,3850.0,823576,0.5219,0.0010,0.3422,0.2680,0.0554,0.0188,2.7163,0.6469,-0.0880,0.0000,0.0000,8.6,7,11,4.5,2,12,886,1.6981,465,0.1075
52400,1575.2,3450.0,798803,0.4091,0.0021,0.3305,0.2563,0.1810,0.0325,2.5738,0.7706,-0.1498,0.0000,0.0000,8.5,6,11,4.3,2,13,924,1.6731,493,0.1038
52410,1559.5,3800.0,793224,0.4550,0.0012,0.3274,0.2643,0.0971,0.0412,2.6801,0.7576,-0.1394,0.0000,0.0000,8.5,6,12,4.4,2,13,1005,1.6811,642,0.1010
52420,1540.8,3000.0,822112,0.5029,0.0011,0.3391,0.2761,0.1679,0.0000,2.7416,0.7371,-0.0905,0.0000,0.0000,8.6,6,11,4.6,2,12,899,1.7073,638,0.1067
52430,1509.0,3300.0,809535,0.3785,0.0023,0.3274,0.2445,0.0834,0.0000,2.6317,0.7203,-0.1691,0.0000,0.0000,8.6,6,12,4.5,2,12,903,1.6777,600,0.1107
52440,1590.1,3150.0,841390,0.3882,0.0020,0.3437,0.2580,0.0964,0.0235,1.9747,0.7020,-0.1436,0.0000,0.0000,8.6,6,12,4.9,2,12,799,1.7070,513,0.1092
52450,1570.6,3650.0,787558,0.4143,0.0028,0.3261,0.2424,0.2023,0.0000,1.3024,0.7135,-0.1278,0.0000,0.0000,8.6,6,11,4.6,2,12,1039,1.6804,580,0.1045
52460,1768.9,3500.0,842292,0.5851,0.0010,0.3328,0.2643,0.1215,0.0422,1.8038,0.7570,-0.1595,0.0000,0.0000,8.5,6,11,4.7,2,11,900,1.6884,456,0.1021
52470,1482.8,2900.0,801481,0.4319,0.0015,0.3393,0.2607,0.0852,0.0251,2.2764,0.7416,-0.1590,0.0000,0.0000,8.6,7,11,4.8,2,13,916,1.6836,670,0.1096
