generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
1276,0.0002,0.0029,0.0040,0.0023,0.0023,0.0030,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0036
1277,0.0010,0.0013,0.0135,0.0034,0.0033,0.0061,0.0011,0.0005,0.0005,0.0011,0.0004,0.0004,0.0000,0.0000,0.0000,0.0114
1278,0.0010,0.0205,0.0235,0.0051,0.0063,0.0087,0.0041,0.0018,0.0013,0.0030,0.0011,0.0013,0.0000,0.0000,0.0001,0.0220
1279,0.0029,0.0001,0.0042,0.0017,0.0015,0.0019,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0027
1280,0.0006,0.0034,0.0146,0.0047,0.0037,0.0083,0.0008,0.0005,0.0003,0.0015,0.0006,0.0006,0.0000,0.0000,0.0000,0.0123
1281,0.0001,0.0002,0.0090,0.0044,0.0024,0.0036,0.0000,0.0000,0.0000,0.0011,0.0005,0.0005,0.0000,0.0000,0.0000,0.0088
1282,0.0026,0.0056,0.0179,0.0076,0.0045,0.0050,0.0033,0.0011,0.0014,0.0026,0.0011,0.0008,0.0000,0.0000,0.0000,0.0189
1283,0.0007,0.0007,0.0079,0.0049,0.0055,0.0067,0.0007,0.0002,0.0003,0.0014,0.0005,0.0003,0.0000,0.0000,0.0000,0.0080
1284,0.0006,0.0003,0.0110,0.0028,0.0024,0.0022,0.0006,0.0002,0.0002,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0070
1285,0.0002,0.0039,0.0132,0.0040,0.0035,0.0026,0.0017,0.0007,0.0006,0.0011,0.0006,0.0003,0.0000,0.0000,0.0000,0.0148
1286,0.0007,0.0026,0.0160,0.0085,0.0033,0.0086,0.0016,0.0006,0.0005,0.0015,0.0005,0.0006,0.0000,0.0000,0.0000,0.0138
1287,0.0027,0.0196,0.0127,0.0025,0.0066,0.0065,0.0017,0.0007,0.0007,0.0005,0.0003,0.0005,0.0000,0.0000,0.0029,0.0100
1288,0.0019,0.0009,0.0120,0.0035,0.0051,0.0016,0.0005,0.0003,0.0002,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0078
1289,0.0040,0.0087,0.0085,0.0027,0.0035,0.0022,0.0003,0.0001,0.0001,0.0004,0.0003,0.0002,0.0000,0.0000,0.0000,0.0044
1290,0.0041,0.0052,0.0128,0.0017,0.0022,0.0033,0.0007,0.0002,0.0004,0.0004,0.0003,0.0001,0.0000,0.0000,0.0000,0.0088
1291,0.0021,0.0006,0.0120,0.0059,0.0055,0.0044,0.0009,0.0004,0.0003,0.0017,0.0007,0.0007,0.0000,0.0000,0.0000,0.0121
1292,0.0035,0.0040,0.0041,0.0041,0.0032,0.0080,0.0012,0.0005,0.0005,0.0005,0.0003,0.0004,0.0000,0.0000,0.0000,0.0078
1293,0.0033,0.0086,0.0192,0.0084,0.0040,0.0044,0.0055,0.0018,0.0017,0.0052,0.0025,0.0015,0.0000,0.0001,0.0003,0.0293
1294,0.0068,0.0064,0.0159,0.0021,0.0064,0.0037,0.0021,0.0010,0.0007,0.0017,0.0007,0.0008,0.0000,0.0000,0.0000,0.0147
1295,0.0047,0.0167,0.0182,0.0042,0.0054,0.0044,0.0021,0.0008,0.0011,0.0024,0.0011,0.0011,0.0000,0.0001,0.0000,0.0162
1296,0.0036,0.0099,0.0187,0.0039,0.0067,0.0036,0.0018,0.0007,0.0009,0.0007,0.0011,0.0011,0.0000,0.0000,0.0027,0.0118
1297,0.0052,0.0009,0.0131,0.0049,0.0052,0.0057,0.0016,0.0006,0.0004,0.0020,0.0009,0.0008,0.0000,0.0000,0.0000,0.0106
1298,0.0032,0.0081,0.0134,0.0028,0.0005,0.0016,0.0000,0.0000,0.0000,0.0004,0.0005,0.0006,0.0000,0.0000,0.0107,0.0054
1299,0.0066,0.0012,0.0180,0.0026,0.0027,0.0049,0.0032,0.0011,0.0011,0.0028,0.0011,0.0008,0.0000,0.0001,0.0001,0.0178
1300,0.0024,0.0055,0.0105,0.0040,0.0046,0.0025,0.0004,0.0003,0.0001,0.0002,0.0004,0.0003,0.0000,0.0035,0.0041,0.0091
1301,0.0008,0.0005,0.0073,0.0031,0.0048,0.0040,0.0004,0.0001,0.0002,0.0010,0.0004,0.0004,0.0000,0.0000,0.0000,0.0067
1302,0.0001,0.0038,0.0021,0.0015,0.0012,0.0014,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
1303,0.0008,0.0027,0.0064,0.0049,0.0034,0.0026,0.0005,0.0003,0.0002,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0061
1304,0.0010,0.0012,0.0044,0.0017,0.0032,0.0042,0.0005,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045
1305,0.0013,0.0009,0.0037,0.0029,0.0023,0.0017,0.0000,0.0000,0.0000,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0034
1306,0.0003,0.0002,0.0037,0.0022,0.0026,0.0024,0.0000,0.0000,0.0000,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0038
1307,0.0004,0.0024,0.0084,0.0023,0.0011,0.0031,0.0002,0.0001,0.0001,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0043
1308,0.0002,0.0001,0.0064,0.0036,0.0049,0.0023,0.0004,0.0002,0.0001,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0048
1309,0.0018,0.0003,0.0059,0.0030,0.0025,0.0029,0.0004,0.0001,0.0002,0.0004,0.0001,0.0002,0.0000,0.0000,0.0000,0.0050
1310,0.0006,0.0005,0.0066,0.0040,0.0096,0.0023,0.0008,0.0005,0.0002,0.0005,0.0004,0.0004,0.0000,0.0000,0.0000,0.0086
1311,0.0032,0.0002,0.0058,0.0025,0.0026,0.0027,0.0003,0.0002,0.0002,0.0005,0.0003,0.0002,0.0000,0.0000,0.0000,0.0049
1312,0.0002,0.0002,0.0043,0.0043,0.0042,0.0024,0.0003,0.0002,0.0001,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0040
1313,0.0029,0.0002,0.0037,0.0031,0.0041,0.0037,0.0002,0.0001,0.0000,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0039
1314,0.0103,0.0009,0.0088,0.0042,0.0039,0.0036,0.0000,0.0000,0.0000,0.0007,0.0004,0.0002,0.0000,0.0000,0.0000,0.0078
1315,0.0027,0.0002,0.0019,0.0016,0.0018,0.0023,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0020
1316,0.0013,0.0061,0.0161,0.0068,0.0029,0.0020,0.0000,0.0000,0.0000,0.0005,0.0009,0.0010,0.0000,0.0038,0.0077,0.0129
1317,0.0013,0.0005,0.0065,0.0020,0.0017,0.0017,0.0000,0.0000,0.0000,0.0001,0.0006,0.0004,0.0000,0.0000,0.0000,0.0035
1318,0.0001,0.0025,0.0035,0.0023,0.0024,0.0022,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022
1319,0.0002,0.0029,0.0021,0.0014,0.0014,0.0024,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0021
1320,0.0000,0.0000,0.0015,0.0008,0.0010,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009
1321,0.0004,0.0003,0.0040,0.0023,0.0024,0.0017,0.0000,0.0000,0.0000,0.0006,0.0003,0.0002,0.0000,0.0000,0.0000,0.0041
1322,0.0004,0.0013,0.0040,0.0013,0.0015,0.0037,0.0000,0.0000,0.0000,0.0004,0.0002,0.0000,0.0000,0.0000,0.0000,0.0042
1323,0.0010,0.0001,0.0063,0.0006,0.0008,0.0027,0.0000,0.0000,0.0000,0.0015,0.0001,0.0001,0.0000,0.0000,0.0033,0.0024
1324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1325,0.0004,0.0108,0.0138,0.0032,0.0018,0.0017,0.0000,0.0000,0.0000,0.0066,0.0004,0.0005,0.0000,0.0000,0.0064,0.0102
1326,0.0001,0.0049,0.0035,0.0015,0.0011,0.0029,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0056,0.0023
1327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1328,0.0001,0.0000,0.0015,0.0011,0.0008,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011
1329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1330,0.0005,0.0003,0.0037,0.0012,0.0028,0.0024,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040
1331,0.0005,0.0092,0.0067,0.0020,0.0002,0.0036,0.0000,0.0000,0.0000,0.0024,0.0002,0.0001,0.0000,0.0000,0.0130,0.0037
1332,0.0001,0.0001,0.0032,0.0023,0.0020,0.0012,0.0001,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0023
1333,0.0001,0.0001,0.0018,0.0017,0.0009,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015
1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1335,0.0002,0.0079,0.0043,0.0025,0.0014,0.0015,0.0000,0.0000,0.0000,0.0005,0.0002,0.0003,0.0000,0.0000,0.0000,0.0043
1336,0.0012,0.0008,0.0066,0.0024,0.0030,0.0017,0.0000,0.0000,0.0000,0.0009,0.0004,0.0004,0.0000,0.0000,0.0000,0.0059
1337,0.0007,0.0009,0.0053,0.0030,0.0028,0.0007,0.0000,0.0000,0.0000,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0043
1338,0.0004,0.0006,0.0050,0.0009,0.0019,0.0013,0.0000,0.0000,0.0000,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0025
1339,0.0043,0.0002,0.0023,0.0014,0.0017,0.0013,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0020
1340,0.0035,0.0058,0.0124,0.0026,0.0001,0.0034,0.0000,0.0000,0.0000,0.0005,0.0004,0.0003,0.0000,0.0000,0.0073,0.0048
1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1342,0.0006,0.0004,0.0040,0.0025,0.0041,0.0033,0.0000,0.0000,0.0000,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0039
1343,0.0003,0.0007,0.0052,0.0004,0.0026,0.0012,0.0000,0.0000,0.0000,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0023
1344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1345,0.0027,0.0006,0.0075,0.0058,0.0032,0.0089,0.0000,0.0000,0.0000,0.0018,0.0006,0.0007,0.0000,0.0138,0.0067,0.0065
1346,0.0009,0.0116,0.0074,0.0059,0.0011,0.0028,0.0000,0.0000,0.0000,0.0014,0.0004,0.0003,0.0000,0.0052,0.0120,0.0082
1347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1348,0.0004,0.0003,0.0043,0.0024,0.0037,0.0017,0.0000,0.0000,0.0000,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0042
1349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1350,0.0001,0.0033,0.0027,0.0012,0.0011,0.0026,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0050,0.0020
1351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1353,0.0002,0.0002,0.0022,0.0028,0.0015,0.0026,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0022
1354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1355,0.0005,0.0101,0.0065,0.0044,0.0032,0.0018,0.0000,0.0000,0.0000,0.0003,0.0004,0.0004,0.0000,0.0000,0.0000,0.0065
1356,0.0001,0.0001,0.0015,0.0011,0.0015,0.0011,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013
1357,0.0001,0.0032,0.0022,0.0012,0.0012,0.0020,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0018
1358,0.0031,0.0046,0.0052,0.0036,0.0029,0.0035,0.0006,0.0003,0.0004,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0053
1359,0.0001,0.0023,0.0015,0.0011,0.0015,0.0008,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013
1360,0.0018,0.0021,0.0075,0.0048,0.0058,0.0033,0.0009,0.0005,0.0006,0.0009,0.0012,0.0011,0.0000,0.0000,0.0000,0.0073
1361,0.0002,0.0026,0.0047,0.0015,0.0014,0.0013,0.0000,0.0000,0.0000,0.0004,0.0002,0.0001,0.0000,0.0000,0.0055,0.0038
1362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1363,0.0003,0.0003,0.0042,0.0037,0.0029,0.0050,0.0000,0.0000,0.0000,0.0011,0.0001,0.0002,0.0000,0.0000,0.0000,0.0042
1364,0.0000,0.0019,0.0015,0.0008,0.0009,0.0009,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
1365,0.0002,0.0002,0.0039,0.0025,0.0023,0.0018,0.0000,0.0000,0.0000,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0034
1366,0.0012,0.0001,0.0049,0.0025,0.0033,0.0023,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0035
1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1368,0.0008,0.0012,0.0032,0.0012,0.0012,0.0009,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0024
1369,0.0003,0.0053,0.0038,0.0027,0.0037,0.0029,0.0002,0.0001,0.0001,0.0003,0.0002,0.0002,0.0000,0.0000,0.0000,0.0039
1370,0.0007,0.0093,0.0061,0.0043,0.0011,0.0032,0.0000,0.0000,0.0000,0.0009,0.0004,0.0003,0.0000,0.0000,0.0000,0.0064
1371,0.0025,0.0001,0.0018,0.0017,0.0022,0.0013,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0019
1372,0.0001,0.0001,0.0017,0.0010,0.0015,0.0011,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013
1373,0.0065,0.0077,0.0046,0.0033,0.0022,0.0006,0.0000,0.0000,0.0000,0.0005,0.0001,0.0001,0.0000,0.0035,0.0035,0.0031
1374,0.0007,0.0075,0.0056,0.0036,0.0021,0.0010,0.0000,0.0000,0.0000,0.0002,0.0003,0.0002,0.0000,0.0000,0.0000,0.0047
1375,0.0002,0.0035,0.0055,0.0028,0.0023,0.0025,0.0003,0.0001,0.0001,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0027
1376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1377,0.0057,0.0012,0.0038,0.0019,0.0022,0.0019,0.0000,0.0000,0.0000,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0041
1378,0.0002,0.0052,0.0033,0.0029,0.0031,0.0018,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0029
1379,0.0002,0.0028,0.0021,0.0017,0.0025,0.0010,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0022
1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1381,0.0001,0.0002,0.0020,0.0020,0.0019,0.0013,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019
1382,0.0037,0.0074,0.0042,0.0036,0.0038,0.0036,0.0003,0.0001,0.0002,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0043
1383,0.0001,0.0006,0.0043,0.0015,0.0010,0.0022,0.0000,0.0000,0.0000,0.0008,0.0001,0.0001,0.0000,0.0000,0.0047,0.0017
1384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1385,0.0004,0.0032,0.0039,0.0034,0.0034,0.0043,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0043
1386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1387,0.0001,0.0000,0.0014,0.0011,0.0010,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
1388,0.0031,0.0044,0.0021,0.0020,0.0018,0.0017,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0022
1389,0.0006,0.0028,0.0111,0.0031,0.0044,0.0027,0.0015,0.0005,0.0003,0.0018,0.0005,0.0003,0.0000,0.0000,0.0000,0.0118
1390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1391,0.0002,0.0026,0.0020,0.0022,0.0019,0.0011,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
1392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1393,0.0001,0.0002,0.0020,0.0019,0.0021,0.0014,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
1394,0.0002,0.0001,0.0018,0.0021,0.0017,0.0021,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0018
1395,0.0001,0.0001,0.0031,0.0021,0.0015,0.0016,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020
1396,0.0005,0.0059,0.0038,0.0015,0.0017,0.0010,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0026
1397,0.0001,0.0001,0.0039,0.0024,0.0033,0.0026,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0031
1398,0.0002,0.0001,0.0019,0.0020,0.0013,0.0022,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
1399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1400,0.0001,0.0001,0.0020,0.0016,0.0022,0.0019,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0021
1401,0.0001,0.0001,0.0024,0.0022,0.0019,0.0021,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0021
1402,0.0000,0.0000,0.0013,0.0008,0.0008,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009
1403,0.0001,0.0002,0.0023,0.0021,0.0022,0.0020,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022
1404,0.0028,0.0025,0.0018,0.0027,0.0013,0.0013,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0018
1405,0.0029,0.0001,0.0018,0.0019,0.0012,0.0021,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0018
1406,0.0069,0.0063,0.0041,0.0018,0.0029,0.0018,0.0000,0.0000,0.0000,0.0010,0.0002,0.0002,0.0000,0.0079,0.0000,0.0036
1407,0.0036,0.0002,0.0023,0.0019,0.0014,0.0014,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0023
1408,0.0003,0.0002,0.0038,0.0018,0.0021,0.0041,0.0000,0.0000,0.0000,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0040
1409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1411,0.0001,0.0001,0.0021,0.0019,0.0018,0.0018,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018
1412,0.0006,0.0004,0.0087,0.0076,0.0074,0.0038,0.0000,0.0000,0.0000,0.0000,0.0005,0.0004,0.0000,0.0046,0.0000,0.0087
1413,0.0002,0.0001,0.0019,0.0011,0.0013,0.0012,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0020
1414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1415,0.0002,0.0002,0.0053,0.0030,0.0009,0.0035,0.0000,0.0000,0.0000,0.0009,0.0001,0.0000,0.0000,0.0000,0.0061,0.0023
1416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1417,0.0004,0.0008,0.0061,0.0011,0.0033,0.0065,0.0000,0.0000,0.0000,0.0008,0.0004,0.0003,0.0000,0.0000,0.0000,0.0064
1418,0.0003,0.0003,0.0037,0.0013,0.0020,0.0020,0.0000,0.0000,0.0000,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000,0.0035
1419,0.0004,0.0003,0.0089,0.0013,0.0025,0.0018,0.0000,0.0000,0.0000,0.0000,0.0003,0.0002,0.0000,0.0000,0.0034,0.0037
1420,0.0001,0.0001,0.0020,0.0010,0.0017,0.0018,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019
1421,0.0003,0.0003,0.0041,0.0035,0.0035,0.0035,0.0004,0.0002,0.0002,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0040
1422,0.0028,0.0030,0.0020,0.0013,0.0015,0.0022,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0020
1423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1424,0.0006,0.0057,0.0093,0.0034,0.0057,0.0034,0.0006,0.0002,0.0003,0.0004,0.0003,0.0003,0.0000,0.0000,0.0049,0.0050
1425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1426,0.0016,0.0002,0.0041,0.0014,0.0011,0.0012,0.0000,0.0000,0.0000,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0037
1427,0.0001,0.0028,0.0019,0.0014,0.0010,0.0016,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0018
1428,0.0002,0.0029,0.0021,0.0020,0.0025,0.0014,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
1429,0.0001,0.0001,0.0020,0.0014,0.0014,0.0012,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0021
1430,0.0001,0.0001,0.0021,0.0014,0.0019,0.0014,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0020
1431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1432,0.0004,0.0002,0.0039,0.0039,0.0020,0.0025,0.0000,0.0000,0.0000,0.0006,0.0002,0.0002,0.0000,0.0000,0.0000,0.0044
1433,0.0001,0.0002,0.0020,0.0012,0.0016,0.0015,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0021
1434,0.0013,0.0001,0.0034,0.0009,0.0014,0.0032,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0060,0.0025
1435,0.0002,0.0014,0.0060,0.0026,0.0050,0.0015,0.0000,0.0000,0.0000,0.0006,0.0003,0.0002,0.0000,0.0000,0.0000,0.0026
1436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1437,0.0035,0.0039,0.0080,0.0052,0.0056,0.0050,0.0004,0.0002,0.0003,0.0012,0.0005,0.0005,0.0000,0.0000,0.0000,0.0057
1438,0.0003,0.0049,0.0036,0.0036,0.0033,0.0030,0.0000,0.0000,0.0000,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0034
1439,0.0000,0.0000,0.0019,0.0008,0.0010,0.0014,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014
1440,0.0005,0.0045,0.0055,0.0034,0.0022,0.0022,0.0000,0.0000,0.0000,0.0007,0.0004,0.0001,0.0000,0.0000,0.0000,0.0055
1441,0.0001,0.0001,0.0021,0.0017,0.0021,0.0028,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018
