generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
37,0.0027,0.0008,0.0044,0.0137,0.0138,0.0070,0.2558,0.0672,0.0469,0.1240,0.0752,0.1449,0.3055,0.0329,0.1538,0.0307
38,0.0000,0.0006,0.0028,0.0284,0.0448,0.0198,0.1882,0.1290,0.0889,0.2181,0.1414,0.1812,0.3037,0.0689,0.2495,0.0109
39,0.0006,0.0029,0.0000,0.0942,0.0265,0.0088,0.1193,0.0860,0.0434,0.2706,0.1324,0.1739,0.2608,0.0684,0.0913,0.0185
40,0.0013,0.0020,0.0018,0.0255,0.0698,0.0066,0.2319,0.0529,0.0745,0.1292,0.1882,0.1054,0.0648,0.0225,0.0208,0.0249
41,0.0013,0.0089,0.0046,0.0474,0.0704,0.0584,0.1331,0.1699,0.0618,0.3244,0.0794,0.2476,0.1372,0.0845,0.0389,0.0118
42,0.0009,0.0021,0.0017,0.0734,0.0484,0.0590,0.1855,0.1135,0.1099,0.2801,0.0564,0.1240,0.1488,0.0607,0.0858,0.0215
43,0.0017,0.0110,0.0093,0.0427,0.0541,0.0160,0.2490,0.0405,0.1370,0.1843,0.1060,0.1503,0.1123,0.0447,0.1240,0.0412
44,0.0005,0.0066,0.0071,0.0125,0.0378,0.0112,0.2042,0.0994,0.1447,0.2409,0.2943,0.0965,0.3516,0.1765,0.1673,0.0030
45,0.0140,0.0127,0.0152,0.0461,0.0213,0.0599,0.1489,0.1251,0.1368,0.2150,0.1491,0.2249,0.3857,0.1839,0.2288,0.0243
46,0.0013,0.0070,0.0054,0.0290,0.0827,0.0479,0.2140,0.0773,0.0731,0.2530,0.0711,0.1582,0.3719,0.0828,0.3165,0.0467
47,0.0004,0.0000,0.0001,0.0559,0.0330,0.0467,0.3914,0.1314,0.0731,0.2547,0.0830,0.0622,0.1516,0.0293,0.0696,0.0414
48,0.0050,0.0006,0.0059,0.0933,0.0662,0.0628,0.1957,0.2014,0.0869,0.0747,0.0682,0.1225,0.3465,0.2255,0.1434,0.0185
49,0.0028,0.0079,0.0076,0.0899,0.0272,0.0199,0.1945,0.2245,0.0790,0.1149,0.0241,0.0315,0.3213,0.1109,0.0632,0.0339
50,0.0017,0.0022,0.0024,0.0382,0.0913,0.0299,0.2911,0.0854,0.1148,0.1798,0.0341,0.0425,0.2965,0.1892,0.0731,0.0085
51,0.0105,0.0055,0.0049,0.0215,0.0529,0.0282,0.2442,0.0869,0.1268,0.0750,0.0251,0.1140,0.3436,0.1146,0.1409,0.0397
52,0.0001,0.0012,0.0032,0.0323,0.0466,0.0080,0.1219,0.0739,0.1593,0.0843,0.0042,0.1352,0.2273,0.1103,0.0299,0.0660
53,0.0000,0.0044,0.0008,0.0415,0.0434,0.0193,0.0614,0.0582,0.1077,0.0509,0.0814,0.0812,0.2680,0.0689,0.1061,0.0075
54,0.0001,0.0003,0.0023,0.0418,0.0344,0.0111,0.1510,0.1484,0.0144,0.1132,0.0301,0.0526,0.2935,0.1495,0.1261,0.0459
55,0.0003,0.0024,0.0027,0.0453,0.0436,0.0167,0.1404,0.1130,0.0791,0.0481,0.0030,0.0773,0.2602,0.0427,0.0920,0.0162
56,0.0000,0.0029,0.0055,0.0419,0.0103,0.0084,0.1037,0.0513,0.0178,0.0918,0.0508,0.0329,0.1103,0.0614,0.0472,0.0138
57,0.0012,0.0045,0.0018,0.0274,0.0106,0.0098,0.1035,0.0305,0.0807,0.0000,0.0628,0.1006,0.1090,0.0511,0.0575,0.0205
